2025-03-04 01:37:27 | Power Usage: 49.35W/320.0W | Memory Usage: 16.811187103077675% | GPU Utilization: 11%
2025-03-04 01:37:27 | Power Usage: 49.53W/320.0W | Memory Usage: 16.811187103077675% | GPU Utilization: 12%
2025-03-04 01:37:27 | Power Usage: 49.45W/320.0W | Memory Usage: 16.811187103077675% | GPU Utilization: 12%
2025-03-04 01:37:27 | Power Usage: 49.21W/320.0W | Memory Usage: 16.817293600390816% | GPU Utilization: 10%
2025-03-04 01:37:28 | Power Usage: 48.93W/320.0W | Memory Usage: 16.817293600390816% | GPU Utilization: 11%
2025-03-04 01:37:28 | Power Usage: 48.81W/320.0W | Memory Usage: 16.8295065950171% | GPU Utilization: 11%
2025-03-04 01:37:28 | Power Usage: 48.61W/320.0W | Memory Usage: 16.82340009770396% | GPU Utilization: 11%
2025-03-04 01:37:28 | Power Usage: 48.65W/320.0W | Memory Usage: 16.82340009770396% | GPU Utilization: 11%
2025-03-04 01:37:28 | Power Usage: 48.54W/320.0W | Memory Usage: 16.82340009770396% | GPU Utilization: 12%
2025-03-04 01:37:28 | Power Usage: 48.47W/320.0W | Memory Usage: 16.82340009770396% | GPU Utilization: 10%
2025-03-04 01:37:28 | Power Usage: 48.49W/320.0W | Memory Usage: 16.82340009770396% | GPU Utilization: 10%
2025-03-04 01:37:29 | Power Usage: 48.43W/320.0W | Memory Usage: 16.82340009770396% | GPU Utilization: 10%
2025-03-04 01:37:29 | Power Usage: 48.4W/320.0W | Memory Usage: 16.82340009770396% | GPU Utilization: 10%
2025-03-04 01:37:29 | Power Usage: 48.41W/320.0W | Memory Usage: 16.82340009770396% | GPU Utilization: 10%
2025-03-04 01:37:29 | Power Usage: 48.33W/320.0W | Memory Usage: 16.82340009770396% | GPU Utilization: 10%
2025-03-04 01:37:29 | Power Usage: 48.26W/320.0W | Memory Usage: 16.82340009770396% | GPU Utilization: 12%
2025-03-04 01:37:29 | Power Usage: 48.24W/320.0W | Memory Usage: 16.82340009770396% | GPU Utilization: 12%
2025-03-04 01:37:29 | Power Usage: 48.23W/320.0W | Memory Usage: 16.82340009770396% | GPU Utilization: 10%
2025-03-04 01:37:30 | Power Usage: 48.23W/320.0W | Memory Usage: 16.8295065950171% | GPU Utilization: 10%
2025-03-04 01:37:30 | Power Usage: 48.23W/320.0W | Memory Usage: 16.8295065950171% | GPU Utilization: 10%
2025-03-04 01:37:30 | Power Usage: 48.25W/320.0W | Memory Usage: 17.092085979482167% | GPU Utilization: 12%
2025-03-04 01:37:30 | Power Usage: 48.53W/320.0W | Memory Usage: 21.17733268197362% | GPU Utilization: 12%
2025-03-04 01:37:30 | Power Usage: 58.18W/320.0W | Memory Usage: 21.201758671226184% | GPU Utilization: 36%
2025-03-04 01:37:30 | Power Usage: 68.43W/320.0W | Memory Usage: 21.213971665852466% | GPU Utilization: 43%
2025-03-04 01:37:30 | Power Usage: 82.1W/320.0W | Memory Usage: 21.213971665852466% | GPU Utilization: 43%
2025-03-04 01:37:30 | Power Usage: 97.41W/320.0W | Memory Usage: 21.213971665852466% | GPU Utilization: 73%
2025-03-04 01:37:30 | Power Usage: 111.64W/320.0W | Memory Usage: 21.213971665852466% | GPU Utilization: 73%
2025-03-04 01:37:31 | Power Usage: 125.28W/320.0W | Memory Usage: 21.201758671226184% | GPU Utilization: 76%
2025-03-04 01:37:31 | Power Usage: 156.87W/320.0W | Memory Usage: 21.207865168539325% | GPU Utilization: 78%
2025-03-04 01:37:31 | Power Usage: 169.87W/320.0W | Memory Usage: 21.23229115779189% | GPU Utilization: 78%
2025-03-04 01:37:31 | Power Usage: 192.94W/320.0W | Memory Usage: 21.22618466047875% | GPU Utilization: 72%
2025-03-04 01:37:31 | Power Usage: 205.4W/320.0W | Memory Usage: 21.22618466047875% | GPU Utilization: 79%
2025-03-04 01:37:31 | Power Usage: 210.15W/320.0W | Memory Usage: 21.23229115779189% | GPU Utilization: 79%
2025-03-04 01:37:31 | Power Usage: 213.1W/320.0W | Memory Usage: 21.23229115779189% | GPU Utilization: 80%
2025-03-04 01:37:32 | Power Usage: 210.82W/320.0W | Memory Usage: 21.23229115779189% | GPU Utilization: 72%
2025-03-04 01:37:32 | Power Usage: 214.87W/320.0W | Memory Usage: 21.23229115779189% | GPU Utilization: 72%
2025-03-04 01:37:32 | Power Usage: 211.27W/320.0W | Memory Usage: 21.22618466047875% | GPU Utilization: 74%
2025-03-04 01:37:32 | Power Usage: 208.73W/320.0W | Memory Usage: 21.23229115779189% | GPU Utilization: 74%
2025-03-04 01:37:32 | Power Usage: 212.8W/320.0W | Memory Usage: 21.22618466047875% | GPU Utilization: 82%
2025-03-04 01:37:32 | Power Usage: 208.19W/320.0W | Memory Usage: 21.43380556912555% | GPU Utilization: 70%
2025-03-04 01:37:32 | Power Usage: 214.99W/320.0W | Memory Usage: 21.43380556912555% | GPU Utilization: 70%
2025-03-04 01:37:32 | Power Usage: 212.46W/320.0W | Memory Usage: 21.43380556912555% | GPU Utilization: 80%
2025-03-04 01:37:32 | Power Usage: 208.24W/320.0W | Memory Usage: 21.43380556912555% | GPU Utilization: 80%
2025-03-04 01:37:33 | Power Usage: 213.78W/320.0W | Memory Usage: 21.43380556912555% | GPU Utilization: 80%
2025-03-04 01:37:33 | Power Usage: 210.5W/320.0W | Memory Usage: 21.42769907181241% | GPU Utilization: 72%
2025-03-04 01:37:33 | Power Usage: 217.69W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 72%
2025-03-04 01:37:33 | Power Usage: 212.49W/320.0W | Memory Usage: 21.403273082559842% | GPU Utilization: 79%
2025-03-04 01:37:33 | Power Usage: 216.54W/320.0W | Memory Usage: 21.409379579872983% | GPU Utilization: 81%
2025-03-04 01:37:33 | Power Usage: 219.08W/320.0W | Memory Usage: 21.409379579872983% | GPU Utilization: 81%
